"Rank","Name","Symbol","marketcap","price (INR)","country"
"80","Torrent Pharmaceuticals","TORNTPHARM.NS","1183559057408","3497.05","India"
"81","Adani Energy Solutions","ADANIENSOL.NS","1177083052032","976.8","India"
"82","Lodha Group","LODHA.NS","1164626624512","1169.85","India"
"83","BOSCH India","BOSCHLTD.NS","1135114321920","38486.8","India"
"84","Polycab India","POLYCAB.NS","1119924256768","7446.85","India"
"85","Mankind Pharma","MANKIND.NS","1118818402304","2792.55","India"
"86","Dr. Reddy's","RDY","1112321781831.7","6578.4775","India"
"87","Tata Consumer Products","TATACONSUM.NS","1101305610240","1113.1","India"
"88","Hero MotoCorp","HEROMOTOCO.NS","1095150403584","5476.3","India"
"89","Info Edge","NAUKRI.NS","1081985204224","8363.3","India"
"90","United Spirits","UNITDSPR.BO","1079496605696","1520.3","India"
"91","ICICI Prulife","ICICIPRULI.NS","1072843653120","742.55","India"
"92","Zydus Lifesciences","ZYDUSLIFE.NS","1071031255040","1064.4","India"
"93","IndusInd Bank","INDUSINDBK.NS","1049770983424","1347.6","India"
"94","Indian Overseas Bank","IOB.NS","1027340566528","54.29","India"
"95","Solar Industries India","SOLARINDS.NS","1024207618048","11318.4","India"
"96","ICICI Lombard","ICICIGI.NS","1023201902592","2067.35","India"
"97","Jindal Steel &amp; Power","JINDALSTEL.NS","1017749176320","1005.85","India"
"98","Suzlon","SUZLON.NS","1016665800704","74.39","India"
"99","Lupin Limited","LUPIN.NS","1014879158272","2224.5","India"
"100","Dabur","DABUR.NS","1012077101056","570.85","India"
"101","Indian Hotels Company","INDHOTEL.NS","1008571318272","708.55","India"
"102","Apollo Hospitals","APOLLOHOSP.NS","1004108120064","6983.4","India"
"103","Colgate-Palmolive India","COLPAL.NS","1003629051904","3689.65","India"
"104","Cummins India","CUMMINSIND.NS","1001842343936","3614.15","India"
"105","Indus Towers","INDUSTOWER.NS","998441353216","378.5","India"
"106","Oil India","OIL.NS","953161351168","584.55","India"
"107","Canara Bank","CANBK.NS","943891873792","104.06","India"
"108","GMR Group","GMRINFRA.NS","933838979072","88.42","India"
"109","MakeMyTrip","MMYT","932074324428.8","8490.2293","India"
"110","Max Healthcare Institute","MAXHEALTH.NS","913609588736","939.8","India"
"111","NHPC Limited","NHPC.NS","913291345920","90.92","India"
"112","Torrent Power","TORNTPOWER.NS","906635902976","1886.4","India"
"113","Dixon Technologies","DIXON.NS","906144579584","15143.6","India"
"114","IDBI Bank","IDBI.NS","895459917824","83.28","India"
"115","Marico","MARICO.NS","886591455232","685.5","India"
"116","Shree Cement","SHREECEM.NS","878097858560","24337","India"
"117","Union Bank of India","UNIONBANK.NS","871147634688","114.12","India"
"118","Aurobindo Pharma","AUROPHARMA.NS","868792664064","1495.85","India"
"119","Hindustan Petroleum","HINDPETRO.NS","841552822272","395.5","India"
"120","Godrej Properties","GODREJPROP.NS","838148423680","3014.25","India"
"121","Adani Total Gas","ATGL.NS","833274314752","757.35","India"
"122","Persistent Systems","PERSISTENT.NS","833165590528","5469.55","India"
"123","Tube Investments of India","TIINDIA.NS","817561862144","4225.65","India"
"124","Prestige Group","PRESTIGE.NS","798788747264","1854.5","India"
"125","Muthoot Finance","MUTHOOTFIN.NS","781088456704","1945.45","India"
"126","PB Fintech","POLICYBZR.NS","743463256064","1639.05","India"
"127","Kalyan Jewellers India","KALYANKJIL.NS","742348357632","720.3","India"
"128","Alkem Laboratories","ALKEM.NS","740262739968","6191.3","India"
"129","Bharti Hexacom","BHARTIHEXA.NS","722700009472","1445.4","India"
"130","Indian Railway Catering & Tourism","IRCTC.NS","711641858048","889.2","India"
"131","Indian Bank","INDIANB.NS","706752413696","524.55","India"
"132","Oberoi Realty","OBEROIRLTY.NS","700071411712","1919.15","India"
"133","SBI Card","SBICARD.NS","697992871936","733.75","India"
"134","SRF Limited","SRF.NS","696228184064","2348.75","India"
"135","Linde India","LINDEINDIA.NS","694874341376","8147.75","India"
"136","Bharat Forge","BHARATFORG.NS","694821715968","1492.35","India"
"137","PI Industries","PIIND.NS","686234599424","4523.6","India"
"138","General Insurance Corporation of India","GICRE.NS","685007568896","390.4","India"
"139","National Mineral Development Corporation","NMDC.NS","684824920064","233.68","India"
"140","Hitachi Energy India","POWERINDIA.NS","673835122688","15899.2","India"
"141","Yes Bank","YESBANK.NS","671136088064","21.4","India"
"142","Ashok Leyland","ASHOKLEY.NS","669094969344","227.86","India"
"143","Berger Paints","BERGEPAINT.NS","666312966144","571.55","India"
"144","Supreme Industries","SUPREMEIND.NS","663801823232","5224.4","India"
"145","Vodafone Idea","IDEA.NS","640531759104","9.18","India"
"146","Patanjali Foods","PATANJALI.NS","631005773824","1743.5","India"
"147","Jindal Stainless","JSL.NS","621240582144","754.45","India"
"148","Abbott India","ABBOTINDIA.NS","612155129856","28808.2","India"
"149","Schaeffler India","SCHAEFFLER.NS","609327710208","3898.35","India"
"150","BSE","BSE.NS","609102659584","4496.45","India"
"151","Voltas","VOLTAS.NS","592102162432","1789.45","India"
"152","Balkrishna Industries","BALKRISIND.NS","584474558464","3023.4","India"
"153","Phoenix Mills","PHOENIXLTD.NS","582333300736","1628.95","India"
"154","Thermax","THERMAX.NS","580656431104","5155.25","India"
"155","Aditya Birla Capital","ABCAPITAL.NS","574643306496","220.84","India"
"156","UNO Minda","UNOMINDA.NS","565982134272","985.75","India"
"157","Madras Rubber Factory","MRF.NS","560668475392","132198","India"
"158","Tata Communications","TATACOMM.NS","560155787264","1963.75","India"
"159","L&amp;T Technology Services","LTTS.NS","553977249792","5234.2","India"
"160","Steel Authority of India","SAIL.NS","553614966784","134.03","India"
"161","United Breweries","UBL.NS","551535575040","2085.95","India"
"162","Nykaa","NYKAA.NS","548808720384","192.01","India"
"163","Container Corporation of India","CONCOR.NS","544647938048","893.9","India"
"164","Mphasis","MPHASIS.NS","544268713984","2876.35","India"
"165","IDFC FIRST Bank","IDFCFIRSTB.NS","541525180416","72.37","India"
"166","Procter &amp; Gamble India","PGHH.NS","539980496896","16634.9","India"
"167","Petronet LNG","PETRONET.NS","532799586304","355.15","India"
"168","Gujarat Fluorochemicals","FLUOROCHEM.NS","516032495616","4693.85","India"
"169","AU Small Finance Bank","AUBANK.NS","513337982976","690.4","India"
"170","Astral Poly Technik","ASTRAL.NS","509706305536","1897.45","India"
"171","Page Industries","PAGEIND.NS","506054082560","45370.2","India"
"172","Glenmark Pharmaceuticals","GLENMARK.NS","505299959808","1790.65","India"
"173","Central Bank of India","CENTRALBK.NS","494466301952","56.96","India"
"174","Coforge","COFORGE.NS","492286017536","7380.6","India"
"175","KPIT Technologies","KPITTECH.NS","485465849856","1789.05","India"
"176","Motilal Oswal Financial Services","MOTILALOFS.NS","484290691072","808.55","India"
"177","Coromandel","COROMANDEL.NS","482346270720","1638.95","India"
"178","Bank of India","BANKINDIA.NS","480443269120","105.53","India"
"179","Tata Elxsi","TATAELXSI.NS","478193319936","7675.15","India"
"180","SJVN","SJVN.NS","472322670592","120.19","India"
"181","Paytm","PAYTM.NS","461313048576","724.5","India"
"182","Federal Bank","FEDERALBNK.NS","459947638784","187.55","India"
"183","Fortis Healthcare","FORTIS.NS","453201297408","600.3","India"
"184","Exide Industries","EXIDEIND.NS","450925002752","530.5","India"
"185","Bharat Dynamics","BDL.NS","448123273216","1221.95","India"
"186","Hudco","HUDCO.NS","446623907840","223.1","India"
"187","Honeywell Automation India","HONAUT.NS","444760719360","50303.6","India"
"188","Adani Wilmar","AWL.NS","438772727808","337.45","India"
"189","UPL","UPL.NS","437641969664","583.05","India"
"190","APL Apollo","APLAPOLLO.NS","436186021888","1571.7","India"
"191","ACC","ACC.NS","434840043520","2312.45","India"
"192","Escorts Kubota","ESCORTS.NS","428141805568","3937.95","India"
"193","Ipca Laboratories","IPCALAB.NS","420513480704","1655.05","India"
"194","Apar Industries","APARINDS.NS","418891104256","10428.4","India"
"195","Bank of Maharashtra","MAHABANK.NS","417267253248","54.24","India"
"196","Blue Star","BLUESTARCO.NS","415198380032","2019.3","India"
"197","Biocon","BIOCON.NS","414428102656","346.15","India"
"198","Jubilant FoodWorks","JUBLFOOD.NS","414028398592","629.7","India"
"199","Gujarat Gas","GUJGASLTD.NS","413137010688","600.1","India"
"200","KEI Industries","KEI.NS","412986834944","4575.95","India"
"201","National Aluminum &amp; Alloy","NATIONALUM.NS","409961005056","222.92","India"
"202","Max Financial Services","MFSL.NS","409081151488","1185.55","India"
"203","Deepak Nitrite","DEEPAKNTR.NS","386014052352","2829.6","India"
"204","360 One Wam","360ONE.NS","385458831360","1056.9","India"
"205","3M India","3MINDIA.NS","382957649920","33995","India"
"206","AIA Engineering","AIAENG.NS","380219981824","4074.35","India"
"207","Indraprastha Gas","IGL.NS","378385530880","540.55","India"
"208","Ola Electric Mobility","OLAELEC.NS","372341080064","90.2","India"
"209","NLC India","NLCINDIA.NS","369051435008","266.1","India"
"210","Embassy Office Parks REIT","EMBASSY.BO","367555379200","387.76","India"
"211","Aditya Birla Fashion and Retail","ABFRL.NS","362914054144","340.25","India"
"212","Tata Investment Corporation","TATAINVEST.NS","356670046208","7048.3","India"
"213","Punjab &amp; Sind Bank","PSB.NS","353867497472","52.16","India"
"214","BASF India","BASF.NS","353790590976","8168.25","India"
"215","Syngene International","SYNGENE.NS","352670973952","879.9","India"
"216","Dalmia Bharat","DALBHARAT.NS","351305465856","1872.95","India"
"217","New India Assurance","NIACL.NS","346420707328","209.68","India"
"218","CRISIL","CRISIL.NS","345131253760","4711.85","India"
"219","LIC Housing Finance","LICHSGFIN.NS","340764000256","619.5","India"
"220","Bandhan Bank","BANDHANBNK.NS","338812928000","210.26","India"
"221","Metro Brands","METROBRAND.NS","333295779840","1225.6","India"
"222","Endurance Technologies","ENDURANCE.NS","329622683648","2343.35","India"
"223","JK Cement","JKCEMENT.NS","327520583680","4238.75","India"
"224","Multi Commodity Exchange","MCX.NS","326314950656","6410.55","India"
"225","Vedant Fashions","MANYAVAR.NS","321318649856","1320.05","India"
"226","Star Health and Allied Insurance Company","STARHEALTH.NS","321143865344","547.6","India"
"227","Apollo Tyres","APOLLOTYRE.NS","320757760000","505.05","India"
"228","Emami","EMAMILTD.NS","318754127872","730.25","India"
"229","CDSL","CDSL.NS","308912455680","1478.05","India"
"230","Sun TV Network","SUNTV.NS","308903510016","783.85","India"
"231","NBCC India","NBCC.NS","307961987072","114.06","India"
"232","Hindustan Copper","HINDCOPPER.NS","305434525696","315.85","India"
"233","Delhivery","DELHIVERY.NS","304732864512","411.15","India"
"234","Bayer Crop Science","BAYERCROP.NS","301940637696","6713.85","India"
"235","Tata Chemicals","TATACHEM.NS","301401833472","1183.1","India"
"236","Whirlpool India","WHIRLPOOL.NS","300476530688","2367.15","India"
"237","Century Textiles and Industries","CENTURYTEX.NS","300288999424","2718.95","India"
"238","Poonawalla Fincorp","POONAWALLA.NS","294227836928","380.7","India"
"239","Piramal Pharma","PPLPHARMA.NS","292509908992","221.3","India"
"240","Dr Lal PathLabs","LALPATHLAB.NS","292125245440","3505.95","India"
"241","ZF Commercial Vehicle Control Systems India","ZFCVINDIA.NS","290295316480","15304.8","India"
"242","Radico Khaitan","RADICO.NS","287684067328","2150.7","India"
"243","Inox Wind","INOXWIND.NS","285021536256","218.61","India"
"244","Timken India","TIMKEN.NS","280927109120","3733.3","India"
"245","Gland Pharma","GLAND.NS","279839506432","1698.55","India"
"246","Carborundum Universal","CARBORUNIV.NS","279459495936","1467.95","India"
"247","Crompton Greaves Consumer Electricals","CROMPTON.NS","277316599808","430.85","India"
"248","Global Health Limited (Medanta)","MEDANTA.NS","275326599168","1024.7","India"
"249","Sumitomo Chemical
 India","SUMICHEM.NS","272084467712","545.1","India"
"250","EIH Limited","EIHOTEL.NS","269093978112","430.2","India"
"251","ICICI Securities","ISEC.NS","268771672064","829.45","India"
"252","SKF India","SKFINDIA.NS","267617796096","5413.2","India"
"253","Grindwell Norton","GRINDWELL.NS","267554881536","2416.5","India"
"254","KEC International","KEC.NS","265853943808","998.7","India"
"255","Amara Raja Batteries","ARE&M.NS","257497858048","1406.9","India"
"256","Natco Pharma","NATCOPHARM.NS","257246740480","1436.25","India"
"257","Anant Raj","ANANTRAJ.NS","257199308800","750.2","India"
"258","Laurus Labs","LAURUSLABS.NS","255669747712","474.15","India"
"259","Hatsun Agro Products","HATSUN.NS","255102140416","1145.25","India"
"260","Narayana Hrudayalaya","NH.NS","248025710592","1221.2","India"
"261","Ratnamani Metals &amp; Tubes","RATNAMANI.NS","247866114048","3534.9","India"
"262","Piramal Enterprises","PEL.NS","242274729984","1079.8","India"
"263","Indian Telephone Industries","ITI.NS","238540193792","248.25","India"
"264","Nerolac Paints","KANSAINER.NS","233424633856","288.75","India"
"265","Atul","ATUL.NS","232260468736","7888.8","India"
"266","Alembic Pharmaceuticals","APLLTD.NS","230312869888","1171.7","India"
"267","KIOCL","KIOCL.NS","226204925952","372.2","India"
"268","Castrol India","CASTROLIND.NS","225381416960","227.82","India"
"269","Kajaria Ceramics","KAJARIACER.NS","224388743168","1408","India"
"270","Devyani International","DEVYANI.NS","219576860672","182.01","India"
"271","Elgi Equipments","ELGIEQUIP.NS","212347830272","671.6","India"
"272","JBM Auto","JBMA.NS","209936367616","1774.55","India"
"273","Tejas Networks","TEJASNET.NS","208319512576","1189.5","India"
"274","Schneider Electric Infrastructure","SCHNEIDER.NS","205737033728","860.45","India"
"275","CIE Automotive India","CIEINDIA.NS","205386498048","541.2","India"
"276","Cyient","CYIENT.NS","203694931968","1851.2","India"
"277","Ramco Cements","RAMCOCEM.NS","203577376768","861.55","India"
"278","Blue Dart Express","BLUEDART.NS","201141911552","8473.2","India"
"279","CenturyPly","CENTURYPLY.NS","201044344832","904.9","India"
"280","Chambal Fertilisers","CHAMBLFERT.NS","199404470272","497.5","India"
"281","IIFL Finance","IIFL.NS","199202816000","469.55","India"
"282","Finolex Cables","FINCABLES.NS","198537773056","1298.15","India"
"283","Relaxo Footwear","RELAXO.NS","198379503616","796.9","India"
"284","Chalet Hotels","CHALET.NS","194348400640","890","India"
"285","PCBL Limited","PCBL.NS","191977684992","508.6","India"
"286","Aarti Industries","AARTIIND.NS","191863570432","529.2","India"
"287","V-Guard Industries","VGUARD.NS","191368691712","440.1","India"
"288","NCC Limited","NCC.NS","187380940800","298.45","India"
"289","Finolex Industries","FINPIPE.NS","185154125824","299.45","India"
"290","Bombay Burmah","BBTC.NS","184466456576","2643.85","India"
"291","Neuland Laboratories","NEULANDLAB.NS","182818734080","14247.6","India"
"292","Jubilant Pharmova","JUBLPHARMA.NS","182511534080","1146.35","India"
"293","Indian Energy Exchange","IEX.NS","181926952960","204.59","India"
"294","Mahanagar Gas","MGL.NS","181158477824","1834","India"
"295","Bata India","BATAINDIA.NS","180723220480","1406.1","India"
"296","Ramkrishna Forgings","RKFORGE.NS","180650442752","999.3","India"
"297","IndiaMART","INDIAMART.NS","180533428224","3011.4","India"
"298","ReNew Power","RNW","180174551898.88","496.8537","India"
"299","KFin Technologies","KFINTECH.NS","178966052864","1044.1","India"
"300","Asahi India Glass","ASAHIINDIA.NS","178936856576","735.5","India"
"301","Reliance Power","RPOWER.NS","177670586368","44.23","India"
"302","Trident","TRIDENT.NS","177635590144","35.3","India"
"303","WNS","WNS","176909041738.24","4005.0948","India"
"304","IDFC","IDFC.NS","174045822976","108.78","India"
"305","Amber Enterprises India","AMBER.NS","169482682368","5019.85","India"
"306","HBL Power Systems","HBLPOWER.NS","167619821568","604.7","India"
"307","Tata Teleservices","TTML.NS","160108773376","81.9","India"
"308","Action Construction Equipment","ACE.NS","159939641344","1343.85","India"
"309","Karur Vysya Bank","KARURVYSYA.NS","159912722432","199.04","India"
"310","PVR INOX","PVRINOX.NS","159285575680","1620.5","India"
"311","Sanofi India Limited","SANOFI.NS","159258902528","6915.1","India"
"312","BEML","BEML.NS","157907615744","3791.8","India"
"313","Zensar","ZENSARTECH.NS","157621616640","694.95","India"
"314","DCM Shriram","DCMSHRIRAM.NS","157399056384","1018.25","India"
"315","Welspun India","WELSPUNIND.NS","156993857657.98","158.95","India"
"316","Fine Organics","FINEORG.NS","155784888320","5080.5","India"
"317","RITES","RITES.NS","150741254144","313.6","India"
"318","BLS International","BLS.NS","149226749952","362.7","India"
"319","Craftsman Automation","CRAFTSMAN.NS","149126873088","6228.1","India"
"320","Granules India","GRANULES.NS","146506088448","603.85","India"
"321","eClerx Services","ECLERX.NS","145207328768","3090.55","India"
"322","East India Distilleries Parry","EIDPARRY.NS","144344219648","812.9","India"
"323","Redington India","REDINGTON.NS","144080961536","184.3","India"
"324","Olectra Greentech","OLECTRA.NS","143847751680","1752.1","India"
"325","Strides Pharma","STAR.NS","143404204032","1559.45","India"
"326","Praj Industries","PRAJIND.NS","141977157632","772.4","India"
"327","Ingersoll Rand India","INGERRAND.NS","140063145984","4434.75","India"
"328","Voltamp Transformers","VOLTAMP.NS","137582444544","13599","India"
"329","Aavas Financiers","AAVAS.NS","136032534528","1718.85","India"
"330","Chennai Petroleum","CHENNPETRO.NS","135465549824","909","India"
"331","Jindal Stainless (Hisar)","JSLHISAR.NS","134482952192","570","India"
"332","sterling &amp; wilson solar","SWSOLAR.NS","132234018816","566.4","India"
"333","Marksans Pharma","MARKSANS.NS","131032367104","289.15","India"
"334","MMTC","MMTC.NS","127725240320","85.06","India"
"335","Safari Industries India","SAFARI.NS","127630376960","2611","India"
"336","Aether Industries","AETHER.NS","125854564352","948.5","India"
"337","Alok Industries","ALOKINDS.NS","125473054720","25.25","India"
"338","Symphony Limited","SYMPHONY.NS","125304700928","1824.7","India"
"339","Electrosteel Castings","ELECTCAST.NS","125077643264","202.3","India"
"340","Zee Entertainment","ZEEL.NS","125011542016","130.15","India"
"341","Zydus Wellness","ZYDUSWELL.NS","124480299008","1956.25","India"
"342","RBL Bank","RBLBANK.NS","124216279040","204.41","India"
"343","Godawari Power &amp; Ispat","GPIL.NS","123412078592","190.9","India"
"344","CEAT","CEATLTD.NS","121783115776","3010.7","India"
"345","Happiest Minds Technologies","HAPPSTMNDS.NS","119752966144","800.75","India"
"346","TANLA","TANLA.NS","115471949824","858.1","India"
"347","Edelweiss Financial Services","EDELWEISS.NS","115157295104","127.87","India"
"348","City Union Bank","CUB.NS","113989419008","153.9","India"
"349","MapmyIndia","MAPMYINDIA.NS","115454599168","2135.15","India"
"350","Graphite India","GRAPHITE.NS","113190952960","579.05","India"
"351","Engineers India","ENGINERSIN.NS","112818692096","200.71","India"
"352","Reliance Infrastructure","RELINFRA.NS","112630595584","284.65","India"
"353","Vesuvius India","VESUVIUS.NS","108536266752","5345.35","India"
"354","Gujarat Mineral Development","GMDCLTD.NS","108119998464","340","India"
"355","Quess","QUESS.NS","108065964032","727.1","India"
"356","Raymond","RAYMOND.NS","106721943552","1603.45","India"
"357","Bajaj Electricals","BAJAJELEC.NS","103955750912","900.9","India"
"358","Galaxy Surfactants","GALAXYSURF.NS","103921565696","2931.1","India"
"359","Cera Sanitaryware","CERA.NS","101971050496","7899.65","India"
"360","JSW Holdings","JSWHL.NS","99593699328","8974.75","India"
"361","Sheela Foam","SFL.NS","99251224576","913.1","India"
"362","Rashtriya Chemicals and Fertilizers","RCF.NS","99204538368","179.82","India"
"363","Power Mech Projects","POWERMECH.NS","98276106240","3108.4","India"
"364","Indiabulls Housing Finance","IBULHSGFIN.NS","97862221824","164.4","India"
"365","Shriram Pistons &amp; Rings","SHRIPISTON.NS","97363271680","2210.3","India"
"366","VA Tech Wabag","WABAG.NS","97169383424","1562.45","India"
"367","Campus Activewear","CAMPUS.NS","96323723264","315.5","India"
"368","ESAB India","ESABINDIA.NS","94920269824","6151.75","India"
"369","HEG","HEG.NS","94900551680","2458.85","India"
"370","Arvind","ARVIND.NS","94275149824","360.2","India"
"371","Force Motors","FORCEMOT.NS","93709451264","7099.9","India"
"372","Puravankara","PURVA.NS","93543817216","394.45","India"
"373","Religare","RELIGARE.NS","90831126528","275","India"
"374","Knr Constructions","KNRCON.NS","89614630912","318.4","India"
"375","Time Technoplast","TIMETECHNO.NS","89602916352","394.85","India"
"376","RattanIndia Power","RTNPOWER.NS","88284610560","16.44","India"
"377","Varroc","VARROC.NS","87958904832","575.7","India"
"378","FDC India","FDC.NS","87387201536","536.2","India"
"379","Kalpataru Power Transmission","KALPATPOWR.NS","86536198746.41","522.85","India"
"380","Karnataka Bank","KTKBANK.NS","86185435136","228.2","India"
"381","Rajesh Exports","RAJESHEXPO.NS","86053527552","291.45","India"
"382","Network18","NETWORK18.NS","85201813504","81.36","India"
"383","Mastek","MASTEK.NS","83659112448","2709.8","India"
"384","Sudarshan Chemical","SUDARSCHEM.NS","83148791808","1201.1","India"
"385","Astra Microwave","ASTRAMICRO.NS","81662189568","860.1","India"
"386","Sunteck Realty","SUNTECK.NS","81511759872","556.25","India"
"387","Black Box","BBOX.NS","81407131648","484.35","India"
"388","Infibeam Avenues","INFIBEAM.NS","79850799104","28.79","India"
"389","Transport Corporation of India","TCI.NS","79432392704","1037.75","India"
"390","eMudhra","EMUDHRA.NS","78957387776","952.5","India"
"391","Mahindra Lifespaces","MAHLIFE.NS","78919254016","508.15","India"
"392","Texmaco Rail &amp; Engineering","TEXRAIL.NS","78484963328","196.37","India"
"393","Surya Roshni","SURYAROSNI.NS","78442102784","722.15","India"
"394","MOIL","MOIL.NS","77945888768","382.75","India"
"395","VIP Industries","VIPIND.NS","77736804352","547.45","India"
"396","Sundaram Finance","SUNDARMHLD.NS","76569092096","346.95","India"
"397","Kirloskar Ferrous Industries","KIRLFER.NS","76561973248","460.05","India"
"398","Ethos Watches","ETHOSLTD.NS","75738644480","3092.85","India"
"399","Syrma SGS Technology","SYRMA.NS","73996288000","416.85","India"
"400","PDS Multinational","PDSL.NS","73081856000","520.3","India"
"401","IFB Industries","IFBIND.NS","72974041088","1799.5","India"
"402","Hindustan Construction Company","HCC.NS","71226269696","42.26","India"
"403","Ashoka Buildcon","ASHOKA.NS","70704799744","251.64","India"
"404","Nazara Technologies","NAZARA.NS","70682296320","923.4","India"
"405","Mishra Dhatu Nigam","MIDHANI.NS","70570983424","376.7","India"
"406","JCI Hitachi India","JCHAC.NS","69631819776","2560.85","India"
