,Name,Symbol,country,price (INR),marketcap,revenue_ttm,operating_margin_ttm,earnings_ttm,employees_count,pe_ratio_ttm
259,Narayana Hrudayalaya,NH.NS,India,1221.2,24802.57,615.38,17.83,109.77,0,32.5343
260,Ratnamani Metals &amp; Tubes,RATNAMANI.NS,India,3534.9,24786.61,604.6,16.24,98.2,2637,38.9656
261,Piramal Enterprises,PEL.NS,India,1079.8,24227.47,1141.09,-8.71,-99.37,12220,11.0365
262,Indian Telephone Industries,ITI.NS,India,248.25,23854.02,195.21,-19.51,-38.1,1665,-63.2999
263,Nerolac Paints,KANSAINER.NS,India,288.75,23342.46,929.82,11.79,109.63,3379,26.2074
264,Atul,ATUL.NS,India,7888.8,23226.05,577.23,10.06,58.1,3188,58.2466
265,Alembic Pharmaceuticals,APLLTD.NS,India,1171.7,23031.29,742.91,11.54,85.73,14858,42.575
266,KIOCL,KIOCL.NS,India,372.2,22620.49,180.14,-2.57,-4.63,120,-196.679
267,Castrol India,CASTROLIND.NS,India,227.82,22538.14,620.63,23.09,143.35,630,0.0
268,Kajaria Ceramics,KAJARIACER.NS,India,1408.0,22438.87,555.6,12.12,67.36,4380,55.2854
269,Devyani International,DEVYANI.NS,India,182.01,21957.69,468.99,5.9,27.71,16371,105.89
270,Elgi Equipments,ELGIEQUIP.NS,India,671.6,21234.78,393.73,14.87,58.56,1258,54.3202
271,JBM Auto,JBMA.NS,India,1774.55,20993.64,625.2,4.85,30.35,2063,143.525
272,Tejas Networks,TEJASNET.NS,India,1189.5,20831.95,434.71,7.94,34.49,1843,-385.064
273,Schneider Electric Infrastructure,SCHNEIDER.NS,India,860.45,20573.7,276.66,10.43,28.86,1232,152.304
274,CIE Automotive India,CIEINDIA.NS,India,541.2,20538.65,1052.97,13.6,143.26,4266,17.0058
275,Cyient,CYIENT.NS,India,1851.2,20369.49,856.78,14.11,120.97,12733,29.8912
276,Ramco Cements,RAMCOCEM.NS,India,861.55,20357.74,1103.97,8.99,99.36,3326,67.4698
277,Blue Dart Express,BLUEDART.NS,India,8473.2,20114.19,645.07,7.11,45.91,12594,67.4075
278,CenturyPly,CENTURYPLY.NS,India,904.9,20104.43,480.26,9.51,45.71,6339,51.9858
279,Chambal Fertilisers,CHAMBLFERT.NS,India,497.5,19940.45,2076.32,12.06,250.62,1035,19.6194
280,IIFL Finance,IIFL.NS,India,469.55,19920.28,735.47,39.0,286.94,14937,10.3695
281,Finolex Cables,FINCABLES.NS,India,1298.15,19853.78,605.13,19.31,116.88,1589,35.6306
282,Relaxo Footwear,RELAXO.NS,India,796.9,19837.95,350.97,8.68,30.47,8026,100.176
283,Chalet Hotels,CHALET.NS,India,890.0,19434.84,176.17,33.57,59.15,1853,93.7217
284,PCBL Limited,PCBL.NS,India,508.6,19197.77,862.28,13.43,115.82,1178,43.7588
285,Aarti Industries,AARTIIND.NS,India,529.2,19186.36,796.57,7.07,56.35,6185,40.1069
286,V-Guard Industries,VGUARD.NS,India,440.1,19136.87,610.33,8.34,50.9,2477,87.0631
287,NCC Limited,NCC.NS,India,298.45,18738.09,2640.09,5.03,133.01,5109,29.2763
288,Finolex Industries,FINPIPE.NS,India,299.45,18515.41,513.63,27.43,140.89,1379,39.5697
289,Bombay Burmah,BBTC.NS,India,2643.85,18446.65,2046.98,18.86,386.23,3087,-10.7637
290,Neuland Laboratories,NEULANDLAB.NS,India,14247.6,18281.87,191.17,28.14,53.8,1554,82.8639
291,Jubilant Pharmova,JUBLPHARMA.NS,India,1146.35,18251.15,816.22,9.48,77.42,6000,-396.194
292,Indian Energy Exchange,IEX.NS,India,204.59,18192.7,56.23,0.0,59.22,0,54.7177
293,Mahanagar Gas,MGL.NS,India,1834.0,18115.85,770.52,25.11,193.53,491,15.4864
294,Bata India,BATAINDIA.NS,India,1406.1,18072.32,415.83,15.7,65.27,4357,56.8913
295,Ramkrishna Forgings,RKFORGE.NS,India,999.3,18065.04,488.34,11.59,56.61,2112,54.0422
296,IndiaMART,INDIAMART.NS,India,3011.4,18053.34,149.58,40.29,60.27,4583,56.2524
297,ReNew Power,RNW,India,496.8537,18017.46,995.11,7.28,72.5,2481,-73.6427
298,KFin Technologies,KFINTECH.NS,India,1044.1,17896.61,107.28,40.21,43.14,0,77.3138
299,Asahi India Glass,ASAHIINDIA.NS,India,735.5,17893.69,524.21,12.43,65.2,2734,50.757
300,Reliance Power,RPOWER.NS,India,44.23,17767.06,900.12,-0.73,-6.53,1305,-33.4582
301,Trident,TRIDENT.NS,India,35.3,17763.56,802.76,9.35,75.07,14998,42.6617
302,WNS,WNS,India,4005.0948,17690.9,1319.98,13.43,189.54,60125,14.3373
303,IDFC,IDFC.NS,India,108.78,17404.58,6.09,0.0,104.74,328,3.99001
304,Amber Enterprises India,AMBER.NS,India,5019.85,16948.27,867.68,5.42,47.09,1397,105.358
305,HBL Power Systems,HBLPOWER.NS,India,604.7,16761.98,274.45,17.75,48.74,1663,126.389
306,Tata Teleservices,TTML.NS,India,81.9,16010.88,147.05,-103.48,48.0,385,-13.4435
307,Action Construction Equipment,ACE.NS,India,1343.85,15993.96,359.72,15.23,54.79,1184,79.9856
308,Karur Vysya Bank,KARURVYSYA.NS,India,199.04,15991.27,678.31,39.36,267.0,6761,11.4849
309,PVR INOX,PVRINOX.NS,India,1620.5,15928.56,719.64,-2.9,-20.82,0,128.101
310,Sanofi India Limited,SANOFI.NS,India,6915.1,15925.89,308.66,26.47,81.71,2174,27.0511
311,BEML,BEML.NS,India,3791.8,15790.76,496.12,10.14,50.3,5573,93.6121
312,Zensar,ZENSARTECH.NS,India,694.95,15762.16,595.8,17.63,105.09,11051,29.3774
313,DCM Shriram,DCMSHRIRAM.NS,India,1018.25,15739.91,1316.06,7.74,101.88,6067,25.2365
314,Welspun India,WELSPUNIND.NS,India,158.95,15699.39,933.8,8.17,76.12,26000,41.2198
315,Fine Organics,FINEORG.NS,India,5080.5,15578.49,255.12,26.06,66.48,760,33.3096
316,RITES,RITES.NS,India,313.6,15074.13,287.53,26.2,75.35,2154,14.589
317,BLS International,BLS.NS,India,362.7,14922.67,214.41,22.75,48.78,20000,60.7725
318,Craftsman Automation,CRAFTSMAN.NS,India,6228.1,14912.69,544.36,9.21,50.19,2154,43.5038
319,Granules India,GRANULES.NS,India,603.85,14650.61,562.41,14.15,79.61,0,32.9641
320,eClerx Services,ECLERX.NS,India,3090.55,14520.73,362.92,23.88,86.67,16171,29.9241
321,East India Distilleries Parry,EIDPARRY.NS,India,812.9,14434.42,2512.67,10.95,275.17,2230,18.0828
322,Redington India,REDINGTON.NS,India,184.3,14408.1,10733.89,2.1,225.92,4651,10.6153
323,Olectra Greentech,OLECTRA.NS,India,1752.1,14384.78,150.32,8.97,13.49,337,209.912
324,Strides Pharma,STAR.NS,India,1559.45,14340.42,505.26,6.8,34.34,2647,-60.9433
325,Praj Industries,PRAJIND.NS,India,772.4,14197.72,405.78,12.43,50.47,1192,51.3085
326,Ingersoll Rand India,INGERRAND.NS,India,4434.75,14006.31,145.08,25.72,37.32,536,66.9885
327,Voltamp Transformers,VOLTAMP.NS,India,13599.0,13758.24,205.93,25.23,51.96,320,54.7708
328,Aavas Financiers,AAVAS.NS,India,1718.85,13603.25,210.76,37.24,78.46,6034,28.6565
329,Chennai Petroleum,CHENNPETRO.NS,India,909.0,13546.55,8244.25,5.29,436.65,1486,4.56828
330,Jindal Stainless (Hisar),JSLHISAR.NS,India,570.0,13448.3,1970.9,11.68,232.6,2190,8.86973
331,sterling &amp; wilson solar,SWSOLAR.NS,India,566.4,13223.4,365.35,1.52,5.48,835,-15.738
332,Marksans Pharma,MARKSANS.NS,India,289.15,13103.24,272.28,20.25,55.14,1412,43.6593
333,MMTC,MMTC.NS,India,85.06,12772.52,-25.06,-107.85,27.0,0,7.2858
334,Safari Industries India,SAFARI.NS,India,2611.0,12763.04,188.52,14.12,26.64,1004,37.3978
335,Aether Industries,AETHER.NS,India,948.5,12585.46,74.09,19.81,14.68,889,85.8942
336,Alok Industries,ALOKINDS.NS,India,25.25,12547.31,610.83,-4.55,-27.82,14803,-12.9668
337,Symphony Limited,SYMPHONY.NS,India,1824.7,12530.47,165.96,19.01,31.56,462,110.026
338,Electrosteel Castings,ELECTCAST.NS,India,202.3,12507.76,937.01,17.23,161.46,2879,39.789
339,Zee Entertainment,ZEEL.NS,India,130.15,12501.15,1054.61,6.99,73.77,3182,-109.307
340,Zydus Wellness,ZYDUSWELL.NS,India,1956.25,12448.03,294.67,13.86,40.85,975,42.8663
341,RBL Bank,RBLBANK.NS,India,204.41,12421.63,1120.34,15.06,168.72,18010,10.2507
342,Godawari Power &amp; Ispat,GPIL.NS,India,190.9,12341.21,655.88,24.93,163.58,2851,3.42324
343,CEAT,CEATLTD.NS,India,3010.7,12178.31,1445.42,7.14,103.3,8207,22.9311
344,Happiest Minds Technologies,HAPPSTMNDS.NS,India,800.75,11975.3,203.8,22.17,45.19,4589,49.2421
345,TANLA,TANLA.NS,India,858.1,11547.19,482.5,17.26,83.28,336,22.0558
346,Edelweiss Financial Services,EDELWEISS.NS,India,127.87,11515.73,845.35,7.35,62.19,4490,30.4891
347,City Union Bank,CUB.NS,India,153.9,11398.94,346.77,45.11,156.43,5367,11.8611
348,MapmyIndia,MAPMYINDIA.NS,India,2135.15,11545.46,47.0,46.08,21.66,510,90.1393
349,Graphite India,GRAPHITE.NS,India,579.05,11319.1,348.75,46.51,162.35,1721,76.2913
350,Engineers India,ENGINERSIN.NS,India,200.71,11281.87,370.57,13.0,48.19,2725,27.8568
351,Reliance Infrastructure,RELINFRA.NS,India,284.65,11263.06,2792.2,7.93,221.48,4502,-2.16085
352,Vesuvius India,VESUVIUS.NS,India,5345.35,10853.63,208.56,19.62,40.93,559,58.0416
353,Gujarat Mineral Development,GMDCLTD.NS,India,340.0,10812.0,301.91,30.97,93.5,1064,10.4546
354,Quess,QUESS.NS,India,727.1,10806.6,2341.44,1.8,42.21,6664,51.2996
355,Raymond,RAYMOND.NS,India,1603.45,10672.19,972.61,10.5,102.16,6707,6.88739
356,Bajaj Electricals,BAJAJELEC.NS,India,900.9,10395.58,560.26,3.39,19.02,2661,47.7515
357,Galaxy Surfactants,GALAXYSURF.NS,India,2931.1,10392.16,455.87,10.38,47.36,1668,28.5475
358,Cera Sanitaryware,CERA.NS,India,7899.65,10197.11,220.81,16.97,37.48,2523,43.3956
359,JSW Holdings,JSWHL.NS,India,8974.75,9959.37,20.5,92.76,19.02,2,77.12
360,Sheela Foam,SFL.NS,India,913.1,9925.12,377.27,10.72,40.45,2221,44.3959
361,Rashtriya Chemicals and Fertilizers,RCF.NS,India,179.82,9920.45,2081.19,2.53,52.84,0,13.1863
362,Power Mech Projects,POWERMECH.NS,India,3108.4,9827.61,522.07,11.29,58.96,14044,20.4426
363,Indiabulls Housing Finance,IBULHSGFIN.NS,India,164.4,9786.22,442.21,45.87,202.85,5318,6.33654
364,Shriram Pistons &amp; Rings,SHRIPISTON.NS,India,2210.3,9736.33,379.78,19.16,72.8,3907,32.8169
365,VA Tech Wabag,WABAG.NS,India,1562.45,9716.94,348.21,12.54,43.69,2000,301.649
366,Campus Activewear,CAMPUS.NS,India,315.5,9632.37,172.12,7.79,13.41,782,80.023
367,ESAB India,ESABINDIA.NS,India,6151.75,9492.03,152.54,17.57,26.81,820,60.6715
368,HEG,HEG.NS,India,2458.85,9490.06,273.72,10.84,29.69,1075,18.0696
369,Arvind,ARVIND.NS,India,360.2,9427.51,894.4,5.71,51.11,25188,28.238
370,Force Motors,FORCEMOT.NS,India,7099.9,9370.95,887.12,9.91,87.98,3928,41.704
371,Puravankara,PURVA.NS,India,394.45,9354.38,302.5,22.72,68.76,1248,651.977
372,Religare,RELIGARE.NS,India,275.0,9083.11,646.03,6.85,44.25,11000,2.67655
373,Knr Constructions,KNRCON.NS,India,318.4,8961.46,532.23,22.45,119.5,2173,17.2962
374,Time Technoplast,TIMETECHNO.NS,India,394.85,8960.29,617.46,10.96,67.69,2521,37.7929
375,RattanIndia Power,RTNPOWER.NS,India,16.44,8828.46,414.0,0.0,1139.55,524,-4.25924
376,Varroc,VARROC.NS,India,575.7,8795.89,917.84,6.47,59.43,13800,-12.119
377,FDC India,FDC.NS,India,536.2,8738.72,245.48,20.66,50.72,6336,37.3444
378,Kalpataru Power Transmission,KALPATPOWR.NS,India,522.85,8653.62,2010.67,6.77,136.18,3072,13.2136
379,Karnataka Bank,KTKBANK.NS,India,228.2,8618.54,559.62,35.0,195.9,8520,5.15685
380,Rajesh Exports,RAJESHEXPO.NS,India,291.45,8605.35,30648.44,0.09,28.6,135,6.8496
381,Network18,NETWORK18.NS,India,81.36,8520.18,1104.32,-6.63,-73.29,620,-57.8906
382,Mastek,MASTEK.NS,India,2709.8,8365.91,377.27,13.65,51.51,5810,29.9762
383,Sudarshan Chemical,SUDARSCHEM.NS,India,1201.1,8314.88,305.71,7.82,23.9,1285,26.5965
384,Astra Microwave,ASTRAMICRO.NS,India,860.1,8166.22,111.67,18.97,21.2,1058,131.521
385,Sunteck Realty,SUNTECK.NS,India,556.25,8151.18,97.23,16.56,16.09,453,-164.764
386,Black Box,BBOX.NS,India,484.35,8140.71,736.41,5.11,37.7,3800,248.192
387,Infibeam Avenues,INFIBEAM.NS,India,28.79,7985.08,381.98,8.13,31.06,750,55.4376
388,Transport Corporation of India,TCI.NS,India,1037.75,7943.24,493.96,9.98,49.31,3687,24.1383
389,eMudhra,EMUDHRA.NS,India,952.5,7895.74,46.32,25.77,11.94,733,107.925
390,Mahindra Lifespaces,MAHLIFE.NS,India,508.15,7891.93,36.27,23.49,8.51,580,733.49
391,Texmaco Rail &amp; Engineering,TEXRAIL.NS,India,196.37,7848.5,448.7,5.48,24.63,2114,90.5534
392,Surya Roshni,SURYAROSNI.NS,India,722.15,7844.21,939.7,6.51,61.19,3357,15.2084
393,MOIL,MOIL.NS,India,382.75,7794.59,187.57,24.33,45.64,5789,32.5239
394,VIP Industries,VIPIND.NS,India,547.45,7773.68,268.99,2.53,6.84,4190,68.5965
395,Sundaram Finance,SUNDARMHLD.NS,India,346.95,7656.91,33.64,95.98,32.29,193,27.9638
396,Kirloskar Ferrous Industries,KIRLFER.NS,India,460.05,7656.2,744.06,6.7,49.9,1385,16.6212
397,Ethos Watches,ETHOSLTD.NS,India,3092.85,7573.86,125.12,12.89,16.14,424,105.136
398,Syrma SGS Technology,SYRMA.NS,India,416.85,7399.63,445.6,5.33,23.76,697,67.7923
399,PDS Multinational,PDSL.NS,India,520.3,7308.19,1258.28,3.4,42.8,180,30.678
400,IFB Industries,IFBIND.NS,India,1799.5,7297.4,554.35,2.68,14.86,2653,514.384
401,Hindustan Construction Company,HCC.NS,India,42.26,7122.63,827.92,10.87,89.99,1105,20.3408
402,Ashoka Buildcon,ASHOKA.NS,India,251.64,7070.48,1239.92,9.68,120.01,2030,22.6985
403,Nazara Technologies,NAZARA.NS,India,923.4,7068.23,136.15,10.16,13.84,73,125.428
404,Mishra Dhatu Nigam,MIDHANI.NS,India,376.7,7057.1,120.67,14.57,17.58,773,43.8725
405,JCI Hitachi India,JCHAC.NS,India,2560.85,6963.18,281.7,0.17,0.47,1427,-54.9859
406,Suprajit Engineering,SUPRAJIT.NS,India,505.4,6935.71,354.28,8.07,28.6,1514,43.2542
407,SPARC,SPARC.NS,India,213.18,6918.16,8.21,-565.71,-46.46,403,-26.7919
408,Gokaldas Exports,GOKEX.NS,India,932.15,6656.31,335.64,7.2,24.19,31483,38.4624
409,Gabriel India,GABRIEL.NS,India,458.35,6584.61,422.26,7.7,32.52,2556,45.2538
410,Greenlam Industries,GREENLAM.NS,India,509.15,6495.43,280.55,9.37,26.3,2249,43.5038
411,Gulf Oil Lubricants,GULFOILLUB.NS,India,1313.45,6477.24,406.2,12.84,52.17,585,23.7323
412,Gujarat Alkalies and Chemicals,GUJALKALI.NS,India,875.3,6427.93,464.75,-7.58,-35.24,1538,38.9072
413,Jindal Worldwide,JINDWORLD.NS,India,313.9,6301.2,227.58,8.25,18.8,1979,70.0613
414,South Indian Bank,SOUTHBANK.NS,India,23.86,6253.04,584.07,31.54,184.12,9219,5.65111
415,Lux Industries,LUXIND.NS,India,2073.15,6234.31,279.6,8.4,23.5,0,56.302
416,Orient Cement,ORIENTCEM.NS,India,295.75,6060.04,365.87,10.22,37.42,1275,48.5358
417,Prince Pipes And Fittings,PRINCEPIPE.NS,India,546.95,6057.64,314.5,9.61,30.25,1665,47.4881
418,EaseMyTrip,EASEMYTRIP.NS,India,34.19,6060.38,74.33,25.9,19.27,508,41.6509
419,Allcargo Logistics,ALLCARGO.NS,India,61.4,6039.21,1648.27,1.08,17.83,959,3.02213
420,Borosil,BORORENEW.NS,India,461.9,6029.92,165.55,-2.48,-4.1,602,187.952
421,Skipper Limited,SKIPPER.NS,India,548.1,6015.34,458.44,3.88,17.8,2100,110.959
422,National Fertilizers,NFL.NS,India,121.76,5976.19,2834.06,1.36,38.55,3003,28.2334
423,Sterlite Technologies,STLTECH.NS,India,120.66,5885.18,611.29,1.84,11.32,3286,22.9733
424,PTC India,PTC.NS,India,197.38,5842.61,1943.2,4.11,79.99,102,12.4496
425,Rain Industries,RAIN.NS,India,172.98,5824.39,1924.01,-6.45,-124.32,2640,7.41739
426,India Tourism Development Corp,ITDC.NS,India,658.1,5656.25,59.88,18.55,11.11,567,81.9945
427,Anup Engineering,ANUP.NS,India,2735.15,5470.98,67.37,21.92,14.77,205,39.0356
428,CSB Bank,CSBBANK.NS,India,307.3,5202.8,254.09,34.82,88.5,4632,8.69234
429,Wonderla Holidays,WONDERLA.NS,India,903.05,5108.85,56.57,38.87,21.99,573,29.559
430,Heidelbergcement India,HEIDELBERG.NS,India,224.39,5084.97,276.41,10.61,29.33,1063,49.5812
431,Orient Electric,ORIENTELEC.NS,India,236.46,5045.25,338.66,3.81,12.93,1001,64.3762
432,VRL Logistics,VRLLOG.NS,India,575.35,5032.5,351.09,6.05,21.26,20219,16.1256
433,Vaibhav Global,VAIBHAVGBL.NS,India,300.65,4986.94,374.41,6.07,22.75,1199,40.0579
434,Greenpanel Industries,GREENPANEL.NS,India,398.9,4892.83,185.22,10.37,19.23,1891,21.7536
435,Sequent Scientific,SEQUENT.NS,India,192.72,4846.2,171.28,0.91,1.56,1771,-33.1527
436,MSTC Limited,MSTCLTD.NS,India,686.15,4831.88,91.4,44.93,41.07,315,19.7968
437,Kaveri Seed,KSCL.NS,India,935.65,4787.78,145.88,27.44,40.03,1198,16.7684
438,Paisalo Digital,PAISALO.NS,India,52.39,4712.93,49.9,58.92,29.41,958,17.04
439,Greenply,GREENPLY.NS,India,378.5,4693.7,274.67,8.08,22.2,2549,63.6226
440,Aarti Drugs,AARTIDRUGS.NS,India,509.9,4653.86,290.89,10.3,29.97,1450,25.6633
441,RPG Life Sciences,RPGLIFE.NS,India,2806.9,4642.33,71.45,20.84,14.9,1270,60.4434
442,India Glycols,INDIAGLYCO.NS,India,1470.5,4557.17,425.97,6.62,28.24,1151,27.0549
443,Prime Focus,PFOCUS.NS,India,150.84,4538.05,422.27,-18.55,-78.38,9500,36.1833
444,The Tinplate Company Of India,TINPLATE.NS,India,430.5,4509.57,419.55,4.06,17.11,1388,47.278
445,JTEKT India,JTEKTINDIA.NS,India,175.94,4473.8,275.85,6.31,17.41,1719,52.6278
446,Subros,SUBROS.NS,India,680.0,4439.58,382.64,5.67,21.7,2647,86.9243
447,Gateway Distriparks,GATEWAY.NS,India,87.79,4386.37,182.44,19.38,35.37,0,17.3681
448,Quick Heal,QUICKHEAL.NS,India,811.7,4374.67,37.29,14.26,5.32,986,-278.739
449,Imagicaaworld Entertainment,IMAGICAA.NS,India,79.54,4313.61,40.84,9.99,4.06,554,11.2513
450,Honda Siel Power Products,HONDAPOWER.NS,India,4154.2,4215.85,110.87,13.29,14.74,754,42.3673
451,Jain Irrigation Systems,JISLDVREQS.NS,India,33.92,4206.55,699.47,8.15,57.03,8500,2.35919
452,Hikal,HIKAL.NS,India,340.0,4194.07,214.45,8.68,18.61,1906,43.5386
453,Avalon Technologies,AVALON.NS,India,626.55,4138.11,99.83,3.07,3.07,0,54.1493
454,Kewal Kiran Clothing,KKCL.NS,India,666.25,4123.13,100.06,23.55,23.57,1648,26.9447
455,Kingfa Science & Technology,KINGFA.NS,India,3333.45,4066.54,187.94,11.19,21.04,221,34.596
456,SpiceJet,SPICEJET.BO,India,67.29,4039.25,842.05,3.39,28.81,0,-2.93497
457,West Coast Paper Mills,WSTCSTPAPR.NS,India,611.25,4037.24,509.55,19.73,100.57,2386,3.93685
458,Vst Tillers Tractors,VSTTILLERS.NS,India,4512.55,3898.63,109.56,15.58,17.08,649,42.1577
459,Spandana Sphoorty Financial,SPANDANA.NS,India,538.15,3842.13,290.09,31.47,91.29,9674,8.88358
460,Indian Metals &amp; Ferro Alloys,IMFA.NS,India,706.75,3813.21,324.63,20.08,65.2,2128,18.982
461,Cigniti Technologies,CIGNITITEC.NS,India,1390.45,3800.04,221.38,9.68,21.45,3891,21.9611
462,Tata Steel Long Products,TATASTLLP.NS,India,829.35,3782.75,1411.75,-18.83,-265.64,3291,-1.90725
463,TCNS Clothing,TCNSBRANDS.NS,India,583.3,3696.32,110.66,-35.28,-39.05,3910,-18.1407
464,CARE's Ratings,CARERATING.NS,India,1230.35,3679.82,41.32,44.28,18.3,563,40.5414
465,Polyplex,POLYPLEX.NS,India,1169.65,3671.82,772.17,3.72,28.76,2650,22.5895
466,Hinduja Global Solutions,HGS.NS,India,788.0,3665.8,549.18,5.22,28.72,21608,12.0675
467,Geojit Financial Services,GEOJITFSL.NS,India,137.94,3664.17,66.46,40.19,26.72,2568,28.7587
468,Kalyani Steels,KSL.NS,India,834.35,3642.2,227.43,18.25,41.53,66,18.4722
469,Tide Water Oil,TIDEWATER.NS,India,2140.4,3638.08,232.24,10.19,23.68,509,31.7494
470,Mahindra Logistics,MAHLOG.NS,India,500.75,3607.92,676.24,0.71,4.85,3740,-148.37
471,MPS Limited,MPSLTD.NS,India,2092.3,3579.82,71.25,26.41,18.82,2210,28.6625
472,Jindal Poly Films,JINDALPOLY.NS,India,817.55,3579.76,519.45,4.45,23.13,1740,32.9294
473,Hathway,HATHWAY.NS,India,20.09,3556.13,236.98,6.86,16.27,658,61.8039
474,Alembic Limited,ALEMBICLTD.NS,India,138.38,3553.35,19.33,69.52,13.45,271,13.6675
475,KSB ltd,KSB.NS,India,997.8,3477.37,281.05,12.68,35.65,1937,16.3196
476,Sandhar,SANDHAR.NS,India,574.45,3478.78,432.77,4.37,18.93,1609,41.0332
477,Kitex Garments,KITEX.NS,India,522.45,3474.29,79.42,17.04,13.54,5524,119.523
478,Nucleus Software Exports,NUCLEUS.NS,India,1299.6,3421.24,97.85,27.56,26.97,1782,19.9506
479,Capacit'e Infraprojects,CAPACITE.NS,India,396.4,3353.7,248.17,10.25,25.43,970,30.5891
480,Delta Corp,DELTACORP.NS,India,124.73,3339.91,104.12,31.93,33.24,3286,11.9967
481,Mahanagar Telephone Nigam,MTNL.NS,India,50.94,3212.37,94.0,-332.62,-52.76,3749,-1.007
482,Indoco Remedies,INDOCO.NS,India,337.3,3128.32,215.6,6.06,13.07,6000,26.9558
483,Repco Home Finance,REPCOHOME.NS,India,497.55,3112.74,84.23,77.19,65.02,898,9.15085
484,Ashiana Housing,ASHIANA.NS,India,308.25,3098.68,113.13,9.87,11.17,857,109.758
485,Dollar Industries,DOLLAR.NS,India,545.55,3094.15,186.48,7.97,14.87,2323,75.3452
486,PTC Financial Services,PFS.NS,India,47.96,3090.11,87.92,30.87,27.15,48,15.0
487,KCP Limited,KCP.NS,India,237.45,3066.33,334.64,11.92,39.89,856,63.4852
488,GTL Infrastructure,GTLINFRA.NS,India,2.36,3035.88,162.27,-57.77,-93.75,669,-1.8024
489,Prakash Industries,PRAKASH.NS,India,169.26,3032.21,459.95,9.06,41.69,2404,15.4003
490,Huhtamaki India,HUHTAMAKI.NS,India,400.2,3029.61,293.44,22.73,66.73,2906,29.9693
491,Foseco India,FOSECOIND.NS,India,4706.0,3008.11,59.13,18.05,10.68,220,61.9457
492,Somany Ceramics,SOMANYCERA.NS,India,720.25,2954.93,310.01,7.41,23.0,1888,45.6136
493,Wendt India,WENDT.NS,India,14724.2,2944.85,26.7,23.54,6.29,388,70.7643
494,Unitech Group,UNITECH.NS,India,11.18,2930.19,56.08,-305.48,-171.22,175,-1.06774
495,Vadilal Industries,VADILALIND.NS,India,4048.85,2912.63,141.49,16.22,22.96,668,24.0645
496,Nilkamal,NILKAMAL.NS,India,1936.25,2891.09,374.1,4.55,17.04,3493,20.5055
497,Hindustan Oil Exploration Company,HINDOILEXP.NS,India,217.78,2882.21,86.14,34.52,29.74,94,12.3621
498,Automotive Axles,AUTOAXLES.NS,India,1881.2,2845.79,256.7,10.21,26.22,988,16.403
499,Rane Holdings,RANEHOLDIN.NS,India,1989.7,2840.85,410.13,2.65,10.89,115,29.8094
500,Shalby,SHALBY.NS,India,263.5,2827.43,117.31,15.04,17.66,2490,35.7487
501,MM Forgings,MMFL.NS,India,571.25,2761.7,189.28,12.13,22.97,2054,10.4755
502,GE Power India,GEPIL.NS,India,404.05,2722.32,195.41,1.09,2.12,1405,-5.13005
503,Parag Milk Foods,PARAGMILK.NS,India,227.29,2709.3,377.83,5.44,20.58,1572,38.5954
504,Confidence Petroleum,CONFIPET.NS,India,81.39,2704.11,312.28,4.56,14.28,163,20.3377
505,SML Isuzu,SMLISUZU.NS,India,1835.4,2674.36,277.33,7.34,20.35,916,52.7049
506,Barbeque Nation Hospitality,BARBEQUE.NS,India,681.1,2662.66,147.83,4.79,7.09,6878,-1040.02
507,Accelya,ACCELYA.NS,India,1767.85,2638.75,61.32,26.65,16.35,1177,20.4843
508,Dish TV,DISHTV.NS,India,14.25,2623.8,217.51,-7.19,-15.59,376,-1.5911
509,Sasken Technologies,SASKEN.NS,India,1706.8,2586.06,51.78,19.66,10.18,1443,27.3665
510,Filatex India,FILATEX.NS,India,57.86,2569.92,512.78,3.98,20.45,2383,40.5528
511,Vidhi Specialty Food,VIDHIING.NS,India,480.55,2403.11,36.82,16.83,6.2,71,66.5482
512,Siyaram Silk Mills,SIYSIL.NS,India,526.8,2390.1,245.02,13.22,32.41,3299,11.4752
513,Omaxe,OMAXE.NS,India,129.26,2377.07,209.18,-30.57,-63.94,468,-5.70264
514,Mangalam Cement,MANGLMCEM.NS,India,862.3,2371.23,202.36,9.02,18.26,1114,660.614
515,Apollo Pipes,APOLLOPIPE.NS,India,568.5,2341.25,124.26,6.68,8.31,834,78.6174
516,Federal-Mogul Goetze,FMGOETZE.NS,India,419.05,2331.26,203.63,11.55,23.53,5025,20.5412
517,Lumax Industries,LUMAXIND.NS,India,2466.9,2307.49,334.21,6.15,20.58,2281,21.1732
518,Nelco,NELCO.NS,India,1002.25,2286.97,38.6,10.47,4.04,93,101.717
519,Rupa Company,RUPA.NS,India,287.35,2285.14,147.0,8.41,12.37,1152,48.9817
520,Hyderabad Industries Limited,HIL.NS,India,2848.0,2147.65,413.96,0.74,3.09,1745,20.8221
521,Sanghi Industries,SANGHIIND.NS,India,83.11,2146.95,105.24,-39.69,-41.79,767,-4.37196
522,Astec Lifesciences,ASTEC.NS,India,1093.2,2143.92,46.18,-29.21,-13.49,551,-81.7235
523,Jaypee Group,JPASSOCIAT.NS,India,8.55,2120.77,817.58,-10.32,-84.39,5893,-1.78441
524,Sterling Tools,STERTOOLS.NS,India,574.65,2071.58,119.21,7.97,9.51,554,39.3504
525,Hindustan Sanitaryware &amp; Industries,HSIL.NS,India,316.9439,2052.77,188.64,0.0,23.6,2818,0.0
526,Sify,SIFY,India,284.1566,2052.23,438.28,3.05,28.38,4319,119.269
